gap buse (µm);shift buse (µm);Viscosite eta0 (Pa.s);ratio surface goutte/puit;run_id;CA substrat (deg);CA mur droit (deg);CA mur gauche (deg);nom fichier png
120;-75;5.0;1.2;66;15;120;15;run_066_y_gap_buse0.12_x_gap_buse-0.075_eta05_ratio_surface1.2.png
120;-150;0.5;0.8;67;15;120;15;run_067_y_gap_buse0.12_x_gap_buse-0.15_eta00.5_ratio_surface0.8.png
120;-150;0.5;1.2;68;15;120;15;run_068_y_gap_buse0.12_x_gap_buse-0.15_eta00.5_ratio_surface1.2.png
120;-150;1.5;0.8;69;15;120;15;run_069_y_gap_buse0.12_x_gap_buse-0.15_eta01.5_ratio_surface0.8.png
120;-150;1.5;1.2;70;15;120;15;run_070_y_gap_buse0.12_x_gap_buse-0.15_eta01.5_ratio_surface1.2.png
120;-150;5.0;0.8;71;15;120;15;run_071_y_gap_buse0.12_x_gap_buse-0.15_eta05_ratio_surface0.8.png
120;-150;5.0;1.2;72;15;120;15;run_072_y_gap_buse0.12_x_gap_buse-0.15_eta05_ratio_surface1.2.png
30;0;0.5;0.8;73;35;15;15;run_073_y_gap_buse0.03_x_gap_buse0_eta00.5_ratio_surface0.8.png
30;0;0.5;1.2;74;35;15;15;run_074_y_gap_buse0.03_x_gap_buse0_eta00.5_ratio_surface1.2.png
30;0;1.5;0.8;75;35;15;15;run_075_y_gap_buse0.03_x_gap_buse0_eta01.5_ratio_surface0.8.png
30;0;1.5;1.2;76;35;15;15;run_076_y_gap_buse0.03_x_gap_buse0_eta01.5_ratio_surface1.2.png
30;0;5.0;0.8;77;35;15;15;run_077_y_gap_buse0.03_x_gap_buse0_eta05_ratio_surface0.8.png
30;0;5.0;1.2;78;35;15;15;run_078_y_gap_buse0.03_x_gap_buse0_eta05_ratio_surface1.2.png
30;-75;0.5;0.8;79;35;15;15;run_079_y_gap_buse0.03_x_gap_buse-0.075_eta00.5_ratio_surface0.8.png
30;-75;0.5;1.2;80;35;15;15;run_080_y_gap_buse0.03_x_gap_buse-0.075_eta00.5_ratio_surface1.2.png
30;-75;1.5;0.8;81;35;15;15;run_081_y_gap_buse0.03_x_gap_buse-0.075_eta01.5_ratio_surface0.8.png
30;-75;1.5;1.2;82;35;15;15;run_082_y_gap_buse0.03_x_gap_buse-0.075_eta01.5_ratio_surface1.2.png
30;-75;5.0;0.8;83;35;15;15;run_083_y_gap_buse0.03_x_gap_buse-0.075_eta05_ratio_surface0.8.png
30;-75;5.0;1.2;84;35;15;15;run_084_y_gap_buse0.03_x_gap_buse-0.075_eta05_ratio_surface1.2.png
30;-150;0.5;0.8;85;35;15;15;run_085_y_gap_buse0.03_x_gap_buse-0.15_eta00.5_ratio_surface0.8.png
30;-150;0.5;1.2;86;35;15;15;run_086_y_gap_buse0.03_x_gap_buse-0.15_eta00.5_ratio_surface1.2.png
30;-150;1.5;0.8;87;35;15;15;run_087_y_gap_buse0.03_x_gap_buse-0.15_eta01.5_ratio_surface0.8.png
30;-150;1.5;1.2;88;35;15;15;run_088_y_gap_buse0.03_x_gap_buse-0.15_eta01.5_ratio_surface1.2.png
30;-150;5.0;0.8;89;35;15;15;run_089_y_gap_buse0.03_x_gap_buse-0.15_eta05_ratio_surface0.8.png
30;-150;5.0;1.2;90;35;15;15;run_090_y_gap_buse0.03_x_gap_buse-0.15_eta05_ratio_surface1.2.png
120;0;0.5;0.8;91;35;15;15;run_091_y_gap_buse0.12_x_gap_buse0_eta00.5_ratio_surface0.8.png
120;0;0.5;1.2;92;35;15;15;run_092_y_gap_buse0.12_x_gap_buse0_eta00.5_ratio_surface1.2.png
120;0;1.5;0.8;93;35;15;15;run_093_y_gap_buse0.12_x_gap_buse0_eta01.5_ratio_surface0.8.png
120;0;1.5;1.2;94;35;15;15;run_094_y_gap_buse0.12_x_gap_buse0_eta01.5_ratio_surface1.2.png
120;0;5.0;0.8;95;35;15;15;run_095_y_gap_buse0.12_x_gap_buse0_eta05_ratio_surface0.8.png
120;0;5.0;1.2;96;35;15;15;run_096_y_gap_buse0.12_x_gap_buse0_eta05_ratio_surface1.2.png
120;-75;0.5;0.8;97;35;15;15;run_097_y_gap_buse0.12_x_gap_buse-0.075_eta00.5_ratio_surface0.8.png
120;-75;0.5;1.2;98;35;15;15;run_098_y_gap_buse0.12_x_gap_buse-0.075_eta00.5_ratio_surface1.2.png
120;-75;1.5;0.8;99;35;15;15;run_099_y_gap_buse0.12_x_gap_buse-0.075_eta01.5_ratio_surface0.8.png
120;-75;1.5;1.2;100;35;15;15;run_100_y_gap_buse0.12_x_gap_buse-0.075_eta01.5_ratio_surface1.2.png
120;-75;5.0;0.8;101;35;15;15;run_101_y_gap_buse0.12_x_gap_buse-0.075_eta05_ratio_surface0.8.png
120;-75;5.0;1.2;102;35;15;15;run_102_y_gap_buse0.12_x_gap_buse-0.075_eta05_ratio_surface1.2.png
120;-150;0.5;0.8;103;35;15;15;run_103_y_gap_buse0.12_x_gap_buse-0.15_eta00.5_ratio_surface0.8.png
120;-150;0.5;1.2;104;35;15;15;run_104_y_gap_buse0.12_x_gap_buse-0.15_eta00.5_ratio_surface1.2.png
120;-150;1.5;0.8;105;35;15;15;run_105_y_gap_buse0.12_x_gap_buse-0.15_eta01.5_ratio_surface0.8.png
120;-150;1.5;1.2;106;35;15;15;run_106_y_gap_buse0.12_x_gap_buse-0.15_eta01.5_ratio_surface1.2.png
120;-150;5.0;0.8;107;35;15;15;run_107_y_gap_buse0.12_x_gap_buse-0.15_eta05_ratio_surface0.8.png
120;-150;5.0;1.2;108;35;15;15;run_108_y_gap_buse0.12_x_gap_buse-0.15_eta05_ratio_surface1.2.png
30;0;0.5;0.8;109;15;15;15;run_109_y_gap_buse0.03_x_gap_buse0_eta00.5_ratio_surface0.8.png
30;0;0.5;1.2;110;15;15;15;run_110_y_gap_buse0.03_x_gap_buse0_eta00.5_ratio_surface1.2.png
30;0;1.5;0.8;111;15;15;15;run_111_y_gap_buse0.03_x_gap_buse0_eta01.5_ratio_surface0.8.png
30;0;1.5;1.2;112;15;15;15;run_112_y_gap_buse0.03_x_gap_buse0_eta01.5_ratio_surface1.2.png
30;0;5.0;0.8;113;15;15;15;run_113_y_gap_buse0.03_x_gap_buse0_eta05_ratio_surface0.8.png
30;0;5.0;1.2;114;15;15;15;run_114_y_gap_buse0.03_x_gap_buse0_eta05_ratio_surface1.2.png
30;-75;0.5;0.8;115;15;15;15;run_115_y_gap_buse0.03_x_gap_buse-0.075_eta00.5_ratio_surface0.8.png
