run_id;gap buse (µm);shift buse (µm);Viscosite eta0 (Pa.s);ratio surface goutte/puit;CA substrat (deg);CA mur droit (deg);CA mur gauche (deg);nom fichier gif
79;30;-75;0.5;0.8;35;15;15;run_079_y_gap_buse0.03_x_gap_buse-0.075_eta00.5_ratio_surface0.8.gif
80;30;-75;0.5;1.2;35;15;15;run_080_y_gap_buse0.03_x_gap_buse-0.075_eta00.5_ratio_surface1.2.gif
81;30;-75;1.5;0.8;35;15;15;run_081_y_gap_buse0.03_x_gap_buse-0.075_eta01.5_ratio_surface0.8.gif
82;30;-75;1.5;1.2;35;15;15;run_082_y_gap_buse0.03_x_gap_buse-0.075_eta01.5_ratio_surface1.2.gif
83;30;-75;5.0;0.8;35;15;15;run_083_y_gap_buse0.03_x_gap_buse-0.075_eta05_ratio_surface0.8.gif
84;30;-75;5.0;1.2;35;15;15;run_084_y_gap_buse0.03_x_gap_buse-0.075_eta05_ratio_surface1.2.gif
85;30;-150;0.5;0.8;35;15;15;run_085_y_gap_buse0.03_x_gap_buse-0.15_eta00.5_ratio_surface0.8.gif
86;30;-150;0.5;1.2;35;15;15;run_086_y_gap_buse0.03_x_gap_buse-0.15_eta00.5_ratio_surface1.2.gif
87;30;-150;1.5;0.8;35;15;15;run_087_y_gap_buse0.03_x_gap_buse-0.15_eta01.5_ratio_surface0.8.gif
88;30;-150;1.5;1.2;35;15;15;run_088_y_gap_buse0.03_x_gap_buse-0.15_eta01.5_ratio_surface1.2.gif
89;30;-150;5.0;0.8;35;15;15;run_089_y_gap_buse0.03_x_gap_buse-0.15_eta05_ratio_surface0.8.gif
90;30;-150;5.0;1.2;35;15;15;run_090_y_gap_buse0.03_x_gap_buse-0.15_eta05_ratio_surface1.2.gif
91;120;0;0.5;0.8;35;15;15;run_091_y_gap_buse0.12_x_gap_buse0_eta00.5_ratio_surface0.8.gif
92;120;0;0.5;1.2;35;15;15;run_092_y_gap_buse0.12_x_gap_buse0_eta00.5_ratio_surface1.2.gif
93;120;0;1.5;0.8;35;15;15;run_093_y_gap_buse0.12_x_gap_buse0_eta01.5_ratio_surface0.8.gif
94;120;0;1.5;1.2;35;15;15;run_094_y_gap_buse0.12_x_gap_buse0_eta01.5_ratio_surface1.2.gif
95;120;0;5.0;0.8;35;15;15;run_095_y_gap_buse0.12_x_gap_buse0_eta05_ratio_surface0.8.gif
96;120;0;5.0;1.2;35;15;15;run_096_y_gap_buse0.12_x_gap_buse0_eta05_ratio_surface1.2.gif
