nom fichier png;ratio surface goutte/puit;CA substrat (deg);CA mur gauche (deg);CA mur droit (deg);CA plateau gauche (deg);Viscosite eta0 (Pa.s);shift X (um)
lbm_222.png;1,0;60;35;90;35;0,5;-75
lbm_223.png;1,0;60;35;90;35;1,5;0
lbm_224.png;1,0;60;35;90;35;1,5;-75
lbm_225.png;1,0;35;90;35;35;0,5;0
lbm_226.png;1,0;35;90;35;35;0,5;-75
lbm_227.png;1,0;35;90;35;35;1,5;0
lbm_228.png;1,0;35;90;35;35;1,5;-75
lbm_229.png;1,0;35;90;90;35;0,5;0
lbm_230.png;1,0;35;90;90;35;0,5;-75
lbm_231.png;1,0;35;90;90;35;1,5;0
lbm_232.png;1,0;35;90;90;35;1,5;-75
lbm_233.png;1,0;60;90;35;35;0,5;0
lbm_234.png;1,0;60;90;35;35;0,5;-75
lbm_235.png;1,0;60;90;35;35;1,5;0
lbm_236.png;1,0;60;90;35;35;1,5;-75
lbm_237.png;1,0;60;90;90;35;0,5;0
lbm_238.png;1,0;60;90;90;35;0,5;-75
lbm_239.png;1,0;60;90;90;35;1,5;0
lbm_240.png;1,0;60;90;90;35;1,5;-75
lbm_241.png;1,0;35;15;35;90;0,5;0
lbm_242.png;1,0;35;15;35;90;0,5;-75
lbm_243.png;1,0;35;15;35;90;1,5;0
lbm_244.png;1,0;35;15;35;90;1,5;-75
lbm_245.png;1,0;35;15;90;90;0,5;0
lbm_246.png;1,0;35;15;90;90;0,5;-75
lbm_247.png;1,0;35;15;90;90;1,5;0
lbm_248.png;1,0;35;15;90;90;1,5;-75
lbm_249.png;1,0;60;15;35;90;0,5;0
lbm_250.png;1,0;60;15;35;90;0,5;-75
lbm_251.png;1,0;60;15;35;90;1,5;0
lbm_252.png;1,0;60;15;35;90;1,5;-75
lbm_253.png;1,0;60;15;90;90;0,5;0
lbm_254.png;1,0;60;15;90;90;0,5;-75
lbm_255.png;1,0;60;15;90;90;1,5;0
lbm_256.png;1,0;60;15;90;90;1,5;-75
lbm_257.png;1,0;35;35;35;90;0,5;0
lbm_258.png;1,0;35;35;35;90;0,5;-75
lbm_259.png;1,0;35;35;35;90;1,5;0
lbm_260.png;1,0;35;35;35;90;1,5;-75
lbm_261.png;1,0;35;35;90;90;0,5;0
lbm_262.png;1,0;35;35;90;90;0,5;-75
lbm_263.png;1,0;35;35;90;90;1,5;0
lbm_264.png;1,0;35;35;90;90;1,5;-75
lbm_265.png;1,0;60;35;35;90;0,5;0
lbm_266.png;1,0;60;35;35;90;0,5;-75
lbm_267.png;1,0;60;35;35;90;1,5;0
lbm_268.png;1,0;60;35;35;90;1,5;-75
lbm_269.png;1,0;60;35;90;90;0,5;0
lbm_270.png;1,0;60;35;90;90;0,5;-75
lbm_271.png;1,0;60;35;90;90;1,5;0
lbm_272.png;1,0;60;35;90;90;1,5;-75
lbm_273.png;1,0;35;90;35;90;0,5;0
lbm_274.png;1,0;35;90;35;90;0,5;-75
lbm_275.png;1,0;35;90;35;90;1,5;0
lbm_276.png;1,0;35;90;35;90;1,5;-75
lbm_277.png;1,0;35;90;90;90;0,5;0
lbm_278.png;1,0;35;90;90;90;0,5;-75
lbm_279.png;1,0;35;90;90;90;1,5;0
lbm_280.png;1,0;35;90;90;90;1,5;-75
lbm_281.png;1,0;60;90;35;90;0,5;0
lbm_282.png;1,0;60;90;35;90;0,5;-75
lbm_283.png;1,0;60;90;35;90;1,5;0
lbm_284.png;1,0;60;90;35;90;1,5;-75
lbm_285.png;1,0;60;90;90;90;0,5;0
lbm_286.png;1,0;60;90;90;90;0,5;-75
lbm_287.png;1,0;60;90;90;90;1,5;0
lbm_288.png;1,0;60;90;90;90;1,5;-75
lbm_289.png;1,2;35;15;35;15;0,5;0
lbm_290.png;1,2;35;15;35;15;0,5;-75
lbm_291.png;1,2;35;15;35;15;1,5;0
lbm_292.png;1,2;35;15;35;15;1,5;-75
lbm_293.png;1,2;35;15;90;15;0,5;0
lbm_294.png;1,2;35;15;90;15;0,5;-75
lbm_295.png;1,2;35;15;90;15;1,5;0
lbm_296.png;1,2;35;15;90;15;1,5;-75
lbm_297.png;1,2;60;15;35;15;0,5;0
lbm_298.png;1,2;60;15;35;15;0,5;-75
lbm_299.png;1,2;60;15;35;15;1,5;0
lbm_300.png;1,2;60;15;35;15;1,5;-75
lbm_301.png;1,2;60;15;90;15;0,5;0
lbm_302.png;1,2;60;15;90;15;0,5;-75
lbm_303.png;1,2;60;15;90;15;1,5;0
lbm_304.png;1,2;60;15;90;15;1,5;-75
lbm_305.png;1,2;35;35;35;15;0,5;0
