nom fichier gif;ratio surface goutte/puit;CA substrat (deg);CA mur gauche (deg);CA mur droit (deg);CA plateau gauche (deg);Viscosite eta0 (Pa.s);shift X (um)
lbm_168.gif;0,9995;35;35;90;15;1,5;-75
lbm_169.gif;0,9995;60;35;35;15;0,5;0
lbm_170.gif;0,9995;60;35;35;15;0,5;-75
lbm_171.gif;0,9995;60;35;35;15;1,5;0
lbm_172.gif;0,9995;60;35;35;15;1,5;-75
lbm_173.gif;0,9995;60;35;90;15;0,5;0
lbm_174.gif;0,9995;60;35;90;15;0,5;-75
lbm_175.gif;0,9995;60;35;90;15;1,5;0
lbm_176.gif;0,9995;60;35;90;15;1,5;-75
lbm_177.gif;0,9995;35;90;35;15;0,5;0
lbm_178.gif;0,9995;35;90;35;15;0,5;-75
lbm_179.gif;0,9995;35;90;35;15;1,5;0
lbm_180.gif;0,9995;35;90;35;15;1,5;-75
lbm_181.gif;0,9995;35;90;90;15;0,5;0
lbm_182.gif;0,9995;35;90;90;15;0,5;-75
lbm_183.gif;0,9995;35;90;90;15;1,5;0
lbm_184.gif;0,9995;35;90;90;15;1,5;-75
lbm_185.gif;0,9995;60;90;35;15;0,5;0
lbm_186.gif;0,9995;60;90;35;15;0,5;-75
lbm_187.gif;0,9995;60;90;35;15;1,5;0
lbm_188.gif;0,9995;60;90;35;15;1,5;-75
lbm_189.gif;0,9995;60;90;90;15;0,5;0
lbm_190.gif;0,9995;60;90;90;15;0,5;-75
lbm_191.gif;0,9995;60;90;90;15;1,5;0
lbm_192.gif;0,9995;60;90;90;15;1,5;-75
lbm_193.gif;0,9995;35;15;35;35;0,5;0
lbm_194.gif;0,9995;35;15;35;35;0,5;-75
lbm_195.gif;0,9995;35;15;35;35;1,5;0
lbm_196.gif;0,9995;35;15;35;35;1,5;-75
lbm_197.gif;0,9995;35;15;90;35;0,5;0
lbm_198.gif;0,9995;35;15;90;35;0,5;-75
lbm_199.gif;0,9995;35;15;90;35;1,5;0
lbm_200.gif;0,9995;35;15;90;35;1,5;-75
lbm_201.gif;0,9995;60;15;35;35;0,5;0
lbm_202.gif;0,9995;60;15;35;35;0,5;-75
lbm_203.gif;0,9995;60;15;35;35;1,5;0
lbm_204.gif;0,9995;60;15;35;35;1,5;-75
lbm_205.gif;0,9995;60;15;90;35;0,5;0
lbm_206.gif;0,9995;60;15;90;35;0,5;-75
lbm_207.gif;0,9995;60;15;90;35;1,5;0
lbm_208.gif;0,9995;60;15;90;35;1,5;-75
lbm_209.gif;0,9995;35;35;35;35;0,5;0
lbm_210.gif;0,9995;35;35;35;35;0,5;-75
lbm_211.gif;0,9995;35;35;35;35;1,5;0
lbm_212.gif;0,9995;35;35;35;35;1,5;-75
lbm_213.gif;0,9995;35;35;90;35;0,5;0
lbm_214.gif;0,9995;35;35;90;35;0,5;-75
lbm_215.gif;0,9995;35;35;90;35;1,5;0
lbm_216.gif;0,9995;35;35;90;35;1,5;-75
lbm_217.gif;0,9995;60;35;35;35;0,5;0
lbm_218.gif;0,9995;60;35;35;35;0,5;-75
lbm_219.gif;0,9995;60;35;35;35;1,5;0
lbm_220.gif;0,9995;60;35;35;35;1,5;-75
lbm_221.gif;0,9995;60;35;90;35;0,5;0
lbm_222.gif;0,9995;60;35;90;35;0,5;-75
lbm_223.gif;0,9995;60;35;90;35;1,5;0
lbm_224.gif;0,9995;60;35;90;35;1,5;-75
lbm_225.gif;0,9995;35;90;35;35;0,5;0
lbm_226.gif;0,9995;35;90;35;35;0,5;-75
lbm_227.gif;0,9995;35;90;35;35;1,5;0
lbm_228.gif;0,9995;35;90;35;35;1,5;-75
lbm_229.gif;0,9995;35;90;90;35;0,5;0
lbm_230.gif;0,9995;35;90;90;35;0,5;-75
lbm_231.gif;0,9995;35;90;90;35;1,5;0
lbm_232.gif;0,9995;35;90;90;35;1,5;-75
lbm_233.gif;0,9995;60;90;35;35;0,5;0
lbm_234.gif;0,9995;60;90;35;35;0,5;-75
lbm_235.gif;0,9995;60;90;35;35;1,5;0
lbm_236.gif;0,9995;60;90;35;35;1,5;-75
lbm_237.gif;0,9995;60;90;90;35;0,5;0
lbm_238.gif;0,9995;60;90;90;35;0,5;-75
lbm_239.gif;0,9995;60;90;90;35;1,5;0
lbm_240.gif;0,9995;60;90;90;35;1,5;-75
lbm_241.gif;0,9995;35;15;35;90;0,5;0
lbm_242.gif;0,9995;35;15;35;90;0,5;-75
lbm_243.gif;0,9995;35;15;35;90;1,5;0
lbm_244.gif;0,9995;35;15;35;90;1,5;-75
lbm_245.gif;0,9995;35;15;90;90;0,5;0
lbm_246.gif;0,9995;35;15;90;90;0,5;-75
lbm_247.gif;0,9995;35;15;90;90;1,5;0
lbm_248.gif;0,9995;35;15;90;90;1,5;-75
lbm_249.gif;0,9995;60;15;35;90;0,5;0
lbm_250.gif;0,9995;60;15;35;90;0,5;-75
lbm_251.gif;0,9995;60;15;35;90;1,5;0
lbm_252.gif;0,9995;60;15;35;90;1,5;-75
lbm_253.gif;0,9995;60;15;90;90;0,5;0
lbm_254.gif;0,9995;60;15;90;90;0,5;-75
lbm_255.gif;0,9995;60;15;90;90;1,5;0
lbm_256.gif;0,9995;60;15;90;90;1,5;-75
lbm_257.gif;0,9995;35;35;35;90;0,5;0
lbm_258.gif;0,9995;35;35;35;90;0,5;-75
lbm_259.gif;0,9995;35;35;35;90;1,5;0
lbm_260.gif;0,9995;35;35;35;90;1,5;-75
lbm_261.gif;0,9995;35;35;90;90;0,5;0
lbm_262.gif;0,9995;35;35;90;90;0,5;-75
lbm_263.gif;0,9995;35;35;90;90;1,5;0
lbm_264.gif;0,9995;35;35;90;90;1,5;-75
lbm_265.gif;0,9995;60;35;35;90;0,5;0
lbm_266.gif;0,9995;60;35;35;90;0,5;-75
lbm_267.gif;0,9995;60;35;35;90;1,5;0
lbm_268.gif;0,9995;60;35;35;90;1,5;-75
lbm_269.gif;0,9995;60;35;90;90;0,5;0
lbm_270.gif;0,9995;60;35;90;90;0,5;-75
lbm_271.gif;0,9995;60;35;90;90;1,5;0
lbm_272.gif;0,9995;60;35;90;90;1,5;-75
lbm_273.gif;0,9995;35;90;35;90;0,5;0
lbm_274.gif;0,9995;35;90;35;90;0,5;-75
lbm_275.gif;0,9995;35;90;35;90;1,5;0
lbm_276.gif;0,9995;35;90;35;90;1,5;-75
lbm_277.gif;0,9995;35;90;90;90;0,5;0
lbm_278.gif;0,9995;35;90;90;90;0,5;-75
lbm_279.gif;0,9995;35;90;90;90;1,5;0
lbm_280.gif;0,9995;35;90;90;90;1,5;-75
lbm_281.gif;0,9995;60;90;35;90;0,5;0
lbm_282.gif;0,9995;60;90;35;90;0,5;-75
lbm_283.gif;0,9995;60;90;35;90;1,5;0
lbm_284.gif;0,9995;60;90;35;90;1,5;-75
lbm_285.gif;0,9995;60;90;90;90;0,5;0
lbm_286.gif;0,9995;60;90;90;90;0,5;-75
lbm_287.gif;0,9995;60;90;90;90;1,5;0
lbm_288.gif;0,9995;60;90;90;90;1,5;-75
lbm_289.gif;1,1999;35;15;35;15;0,5;0
lbm_290.gif;1,1999;35;15;35;15;0,5;-75
lbm_291.gif;1,1999;35;15;35;15;1,5;0
lbm_292.gif;1,1999;35;15;35;15;1,5;-75
lbm_293.gif;1,1999;35;15;90;15;0,5;0
lbm_294.gif;1,1999;35;15;90;15;0,5;-75
lbm_295.gif;1,1999;35;15;90;15;1,5;0
lbm_296.gif;1,1999;35;15;90;15;1,5;-75
lbm_297.gif;1,1999;60;15;35;15;0,5;0
lbm_298.gif;1,1999;60;15;35;15;0,5;-75
lbm_299.gif;1,1999;60;15;35;15;1,5;0
lbm_300.gif;1,1999;60;15;35;15;1,5;-75
